HR,EDA,TEMP,Label
81.0,0.289051,34.04,0
81.0,0.299391,34.04,0
81.0,0.28548,33.98,0
83.0,0.28548,33.98,0
83.0,0.280687,33.98,0
83.0,0.280687,33.92,0
83.0,0.306624,34.0,0
83.0,0.300049,34.0,0
83.0,0.28993,34.0,0
83.0,0.304743,34.07,0
83.0,0.28602,34.17,0
83.0,0.259908,34.17,0
83.0,0.249655,34.08,0
83.0,0.247558,34.03,0
83.0,0.27902,34.03,0
83.0,0.27902,34.08,0
83.0,0.282385,34.08,0
83.0,0.270828,34.04,0
83.0,0.305815,34.09,0
74.0,0.305815,34.09,0
74.0,0.284301,34.09,0
74.0,0.284301,34.0,0
74.0,0.28642,34.0,0
74.0,0.212591,34.04,0
74.0,0.171906,34.04,0
74.0,0.261089,34.09,0
74.0,0.273771,34.07,0
74.0,0.136831,34.1,0
74.0,0.239132,34.1,0
74.0,0.236916,34.12,0
74.0,0.268259,33.94,0
74.0,0.263173,34.01,0
74.0,0.270512,34.01,0
74.0,0.211325,34.01,0
74.0,0.313351,34.11,0
74.0,0.334543,33.98,0
74.0,0.303997,33.98,0
74.0,0.298286,33.98,0
74.0,0.298286,34.03,0
74.0,0.300958,34.01,0
74.0,0.307057,34.04,0
74.0,0.301689,34.04,0
74.0,0.30568,34.12,0
74.0,0.317935,34.09,0
64.0,0.317935,34.09,0
64.0,0.29516,34.09,0
64.0,0.29516,34.07,0
64.0,0.302779,34.17,0
64.0,0.305613,34.17,0
64.0,0.318517,34.08,0
83.0,0.318517,34.08,0
83.0,0.294934,34.08,0
83.0,0.294934,33.93,0
83.0,0.285234,34.04,0
83.0,0.282787,34.04,0
83.0,0.306151,34.05,0
95.0,0.306151,34.05,0
95.0,0.309792,34.05,0
95.0,0.309792,33.99,0
95.0,0.276789,34.06,0
95.0,0.306556,34.06,0
95.0,0.305627,34.1,0
95.0,0.300438,34.08,0
95.0,0.294822,34.08,0
95.0,0.294822,34.1,0
95.0,0.298722,34.1,0
95.0,0.315684,34.04,0
95.0,0.303625,33.98,0
95.0,0.295611,33.98,0
95.0,0.295611,34.06,0
95.0,0.308077,34.06,0
95.0,0.30861,34.06,0
95.0,0.300945,34.03,0
95.0,0.304876,33.98,0
95.0,0.303004,34.03,0
95.0,0.296658,34.03,0
82.0,0.296658,34.03,0
82.0,0.281984,34.01,0
82.0,0.297444,34.01,0
82.0,0.301977,34.07,0
82.0,0.299043,34.07,0
82.0,0.293218,34.1,0
82.0,0.30489,34.04,0
85.0,0.30489,34.04,0
85.0,0.2914,34.2,0
85.0,0.291681,34.08,0
85.0,0.288045,34.08,0
85.0,0.293218,34.0,0
85.0,0.303374,34.04,0
85.0,0.297203,34.09,0
85.0,0.296696,34.09,0
85.0,0.305264,34.0,0
85.0,0.28694,34.07,0
81.0,0.28694,34.07,0
81.0,0.280336,34.07,0
81.0,0.280336,34.14,0
81.0,0.310055,34.14,0
81.0,0.308788,34.13,0
81.0,0.292147,34.13,0
81.0,0.299855,33.98,0
91.0,0.299855,33.98,0
91.0,0.296873,33.98,0
91.0,0.288859,33.98,0
91.0,0.288859,34.03,0
91.0,0.300062,34.08,0
91.0,0.310317,34.11,0
91.0,0.307382,34.08,0
91.0,0.313492,34.08,0
91.0,0.28227,34.03,0
90.0,0.28227,34.03,0
90.0,0.29291,34.05,0
90.0,0.297254,34.06,0
90.0,0.285058,34.06,0
90.0,0.300945,34.1,0
90.0,0.295373,34.1,0
90.0,0.295373,34.15,0
90.0,0.312352,34.1,0
90.0,0.297776,34.1,0
90.0,0.291327,34.04,0
90.0,0.325174,34.12,0
90.0,0.291743,34.12,0
90.0,0.300425,34.12,0
90.0,0.318255,34.12,0
90.0,0.288344,34.09,0
80.0,0.288344,34.09,0
80.0,0.298453,34.09,0
80.0,0.298453,34.15,0
80.0,0.288105,34.15,0
80.0,0.290767,34.1,0
80.0,0.303891,34.01,0
80.0,0.30203,34.11,0
80.0,0.285832,34.12,0
86.0,0.285832,34.12,0
86.0,0.293132,34.12,0
86.0,0.298478,34.19,0
86.0,0.292429,34.19,0
86.0,0.286079,34.19,0
86.0,0.309944,34.19,0
86.0,0.292934,34.15,0
86.0,0.319821,34.15,0
86.0,0.319821,34.17,0
86.0,0.266654,34.18,0
86.0,0.317427,34.11,0
86.0,0.283086,34.11,0
86.0,0.274494,34.05,0
86.0,0.296342,34.16,0
78.0,0.296342,34.16,0
78.0,0.289749,34.03,0
78.0,0.291486,34.03,0
78.0,0.289099,34.03,0
78.0,0.289099,34.05,0
78.0,0.334189,34.02,0
78.0,0.295536,33.97,0
78.0,0.303718,34.06,0
81.0,0.303718,34.06,0
81.0,0.28981,34.06,0
81.0,0.309903,34.03,0
81.0,0.287414,33.87,0
81.0,0.296898,34.05,0
81.0,0.298274,34.05,0
81.0,0.27066,34.05,0
81.0,0.27066,34.09,0
85.0,0.27066,34.09,0
85.0,0.291486,34.04,0
85.0,0.305238,34.05,0
85.0,0.281733,34.05,0
85.0,0.287047,34.09,0
85.0,0.301702,34.04,0
85.0,0.270744,34.02,0
85.0,0.304023,34.02,0
85.0,0.304743,34.11,0
85.0,0.293925,34.01,0
85.0,0.29312,34.08,0
85.0,0.3162,34.14,0
85.0,0.289087,34.14,0
90.0,0.289087,34.14,0
90.0,0.280178,34.13,0
90.0,0.299403,34.13,0
90.0,0.299403,34.09,0
90.0,0.298709,34.15,0
90.0,0.298671,34.15,0
90.0,0.287023,34.17,0
90.0,0.286727,34.07,0
90.0,0.294672,34.07,0
90.0,0.269183,34.07,0
87.0,0.269183,34.07,0
